"job_id (S)","data_size (S)","job_json (M)","job_name (S)","job_runway (S)","job_runways (L)","job_status (S)","job_submitted_by (S)","job_submitted_date (S)","job_type (S)","ngs_data (M)","sample_number (S)"
"068055a433934761bd9b561e99352524","8.9G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""rwc"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/170113.AUTL5.201117090529.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/170113.AUTL5.201117090529.SampleSheet.csv"" }}","170113.AUTL5.201117090529.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201117090529","","{  ""data_id"" : { ""S"" : ""6b3dee3c14c94802b61424b356bb468c"" },  ""data_name"" : { ""S"" : ""AUTL5"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-10-05"" },  ""flowcellName"" : { ""S"" : ""AUTL5"" },  ""flowcellPath"" : { ""S"" : ""170113_M05008_0035_000000000-AUTL5"" },  ""site"" : { ""S"" : ""rwc"" },  ""size"" : { ""S"" : ""8.9G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""08:59"" }}","0"
"0e19b5067b6844e785edf91a43f190ae","8.9G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""rwc"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/170113.AUTL5.201117091502.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/170113.AUTL5.201117091502.SampleSheet.csv"" }}","170113.AUTL5.201117091502.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201117091502","","{  ""data_id"" : { ""S"" : ""6b3dee3c14c94802b61424b356bb468c"" },  ""data_name"" : { ""S"" : ""AUTL5"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-10-05"" },  ""flowcellName"" : { ""S"" : ""AUTL5"" },  ""flowcellPath"" : { ""S"" : ""170113_M05008_0035_000000000-AUTL5"" },  ""site"" : { ""S"" : ""rwc"" },  ""size"" : { ""S"" : ""8.9G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""08:59"" }}","0"
"0ff14505eb0148a08a97b90facbdbd76","6.5G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/191004.CGYDJ.201124102444.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/191004.CGYDJ.201124102444.SampleSheet.csv"" }}","191004.CGYDJ.201124102444.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeqVII"" },  { ""S"" : ""rhAmpSeq"" }]","Pending","977d0998319a4148a229098cf1e77424","201124102444","","{  ""data_id"" : { ""S"" : ""091f3a991a694cfb84d98f1c4cd1de30"" },  ""data_name"" : { ""S"" : ""CGYDJ"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2019-10-31"" },  ""flowcellName"" : { ""S"" : ""CGYDJ"" },  ""flowcellPath"" : { ""S"" : ""191004_M01253_0784_000000000-CGYDJ"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""6.5G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""22:03"" }}","0"
"1144325e94f5467f90104c778022d64f","5.4G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/200623.J67R4.201124181240.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200623.J67R4.201124181240.SampleSheet.csv"" }}","200623.J67R4.201124181240.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" },  { ""S"" : ""rhAmpSeqVII"" }]","Pending","977d0998319a4148a229098cf1e77424","201124181240","","{  ""data_id"" : { ""S"" : ""54b14a13847b4837b83ef9d2c79ca660"" },  ""data_name"" : { ""S"" : ""J67R4"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-06-24"" },  ""flowcellName"" : { ""S"" : ""J67R4"" },  ""flowcellPath"" : { ""S"" : ""200623_M01253_0817_000000000-J67R4"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""5.4G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""07:47"" }}","128"
"1ff11da4dc954e39b6adcdeac69378b4","6.5G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/191004.CGYDJ.201117143410.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/191004.CGYDJ.201117143410.SampleSheet.csv"" }}","191004.CGYDJ.201117143410.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201117143410","","{  ""data_id"" : { ""S"" : ""091f3a991a694cfb84d98f1c4cd1de30"" },  ""data_name"" : { ""S"" : ""CGYDJ"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2019-10-31"" },  ""flowcellName"" : { ""S"" : ""CGYDJ"" },  ""flowcellPath"" : { ""S"" : ""191004_M01253_0784_000000000-CGYDJ"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""6.5G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""22:03"" }}","2"
"218787143acd4c789c28bc2b9c5807fb","6.5G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/191004.CGYDJ.201130215712.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/191004.CGYDJ.201130215712.SampleSheet.csv"" },  ""sequencer"" : { ""S"" : ""sequencer1"" }}","191004.CGYDJ.201130215712.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeqVII"" },  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201130215712","","{  ""bam_type"" : { ""S"" : ""bcl+bam"" },  ""data_id"" : { ""S"" : ""091f3a991a694cfb84d98f1c4cd1de30"" },  ""data_name"" : { ""S"" : ""CGYDJ"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2019-10-31"" },  ""flowcellName"" : { ""S"" : ""CGYDJ"" },  ""flowcellPath"" : { ""S"" : ""191004_M01253_0784_000000000-CGYDJ"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""6.5G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""22:03"" }}","1"
"24a912d2111c43d58df4b158b2e7fbec","30G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation2/In/200909.H7HTTBGXG.201124182201.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200909.H7HTTBGXG.201124182201.SampleSheet.csv"" }}","200909.H7HTTBGXG.201124182201.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" },  { ""S"" : ""rhAmpSeqVII"" }]","Running","977d0998319a4148a229098cf1e77424","201124182201","","{  ""data_id"" : { ""S"" : ""5f4c45f530534232a2fd47ea6312bf1c"" },  ""data_name"" : { ""S"" : ""H7HTTBGXG"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-09-12"" },  ""flowcellName"" : { ""S"" : ""H7HTTBGXG"" },  ""flowcellPath"" : { ""S"" : ""200909_NB501403_0289_AH7HTTBGXG"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""30G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""15:42"" }}","1"
"27a5ef3c52b548bfbb97d17db1ca0642","2.0G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation2/In/201027.000000000-JCLHG.201117171340.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/201027.000000000-JCLHG.201117171340.SampleSheet.csv"" }}","201027.000000000-JCLHG.201117171340.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeqVII"" },  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201117171340","","{  ""data_id"" : { ""S"" : ""07c451b51ad548d3a876edac593c98bd"" },  ""data_name"" : { ""S"" : ""000000000-JCLHG"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""fastq"" },  ""date"" : { ""S"" : ""2020-10-28"" },  ""flowcellName"" : { ""S"" : ""000000000-JCLHG"" },  ""flowcellPath"" : { ""S"" : ""201027_M01253_0835_000000000-JCLHG"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""2.0G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""07:19"" }}","2"
"340803ccccc0432198dcc2a50aee9918","5.4G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation2/In/200623.J67R4.201124175852.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200623.J67R4.201124175852.SampleSheet.csv"" }}","200623.J67R4.201124175852.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" },  { ""S"" : ""rhAmpSeqVII"" }]","Pending","977d0998319a4148a229098cf1e77424","201124175852","","{  ""data_id"" : { ""S"" : ""54b14a13847b4837b83ef9d2c79ca660"" },  ""data_name"" : { ""S"" : ""J67R4"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-06-24"" },  ""flowcellName"" : { ""S"" : ""J67R4"" },  ""flowcellPath"" : { ""S"" : ""200623_M01253_0817_000000000-J67R4"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""5.4G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""07:47"" }}","128"
"35b10e6d6e49425fa5b4ec126287719b","8.8G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""rwc"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/200123.CVPDY.201117105649.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200123.CVPDY.201117105649.SampleSheet.csv"" }}","200123.CVPDY.201117105649.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" }]","Pending","977d0998319a4148a229098cf1e77424","201117105649","","{  ""data_id"" : { ""S"" : ""86d422a52c0544a094f3d16c16511681"" },  ""data_name"" : { ""S"" : ""CVPDY"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-01-27"" },  ""flowcellName"" : { ""S"" : ""CVPDY"" },  ""flowcellPath"" : { ""S"" : ""200123_M01253_0801_000000000-CVPDY"" },  ""site"" : { ""S"" : ""rwc"" },  ""size"" : { ""S"" : ""8.8G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""10:48"" }}","1"
"42f6842bf5e6497ba2876aeec7f8312e","8.9G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""rwc"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/170113.AUTL5.201117093633.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/170113.AUTL5.201117093633.SampleSheet.csv"" }}","170113.AUTL5.201117093633.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","191117093633","","{  ""data_id"" : { ""S"" : ""6b3dee3c14c94802b61424b356bb468c"" },  ""data_name"" : { ""S"" : ""AUTL5"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-10-05"" },  ""flowcellName"" : { ""S"" : ""AUTL5"" },  ""flowcellPath"" : { ""S"" : ""170113_M05008_0035_000000000-AUTL5"" },  ""site"" : { ""S"" : ""rwc"" },  ""size"" : { ""S"" : ""8.9G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""08:59"" }}","0"
"51cddd49a4c34d95ab3dd6343347fb7f","5.4G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/200623.J67R4.201126092708.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200623.J67R4.201126092708.SampleSheet.csv"" }}","200623.J67R4.201126092708.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeqVII"" },  { ""S"" : ""rhAmpSeq"" }]","Terminate","977d0998319a4148a229098cf1e77424","201126092708","","{  ""data_id"" : { ""S"" : ""54b14a13847b4837b83ef9d2c79ca660"" },  ""data_name"" : { ""S"" : ""J67R4"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-06-24"" },  ""flowcellName"" : { ""S"" : ""J67R4"" },  ""flowcellPath"" : { ""S"" : ""200623_M01253_0817_000000000-J67R4"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""5.4G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""07:47"" }}","128"
"701d748bdb964c349b52b163520b2922","5.4G","{  ""command"" : { ""S"" : """" },  ""computing_cluster"" : { ""S"" : ""cor"" },  ""job_type"" : { ""S"" : """" },  ""options"" : { ""S"" : """" },  ""pipeline"" : { ""S"" : """" },  ""samplesheet_path_on_hpc"" : { ""S"" : ""/mnt/archive/seqdata/automation/In/200623.J67R4.201126111643.SampleSheet.csv"" },  ""samplesheet_path_on_s3"" : { ""S"" : ""s3://flask-api-monitor-test/200623.J67R4.201126111643.SampleSheet.csv"" }}","200623.J67R4.201126111643.SampleSheet.csv","dd25755518c04e0a9e05e2ebfe1d661e","[  { ""S"" : ""rhAmpSeq"" },  { ""S"" : ""rhAmpSeqVII"" }]","Terminate","977d0998319a4148a229098cf1e77424","201126111643","","{  ""data_id"" : { ""S"" : ""54b14a13847b4837b83ef9d2c79ca660"" },  ""data_name"" : { ""S"" : ""J67R4"" },  ""data_status"" : { ""N"" : ""1"" },  ""data_type"" : { ""S"" : ""bcl"" },  ""date"" : { ""S"" : ""2020-06-24"" },  ""flowcellName"" : { ""S"" : ""J67R4"" },  ""flowcellPath"" : { ""S"" : ""200623_M01253_0817_000000000-J67R4"" },  ""site"" : { ""S"" : ""cor"" },  ""size"" : { ""S"" : ""5.4G"" },  ""status"" : { ""N"" : ""0"" },  ""time"" : { ""S"" : ""07:47"" }}","128"
